reaction,genes,subsystem,name,flux_diff,abs_flux_diff,retap_score,kd_growth_frac
R01855,RPA0328,Purine metabolism,2-Deoxyguanosine 5-triphosphate pyrophosphohydrolase,0.08352849336455856,0.08352849336455856,449.232852947974,1.0
R02098,RPA2775,Pyrimidine metabolism,ATPdTMP phosphotransferase,0.08352849336455838,0.08352849336455838,449.2328529479745,0.9999021430862027
R00190,RPA4492,Purine metabolism,AMPpyrophosphate phosphoribosyltransferase,0.08352849336455645,0.08352849336455645,449.2328529479743,0.9999289651421384
R00894,RPA0822,Glutathione metabolism,L-GlutamateL-cysteine gamma-ligase (ADP-forming),0.073087431693989,0.073087431693989,449.23285294797495,1.0
R00497,RPA0322,Glutathione metabolism,gamma-L-Glutamyl-L-cysteineglycine ligase (ADP-forming),0.07308743169398899,0.07308743169398899,449.2328529479745,1.0
R01197,RPA1226|RPA1227|RPA1228,Citrate cycle (TCA cycle),2-oxoglutarate synthase (rev),0.06893000228659403,0.06893000228659403,420.93419138788875,0.9982216639706715
R01130,RPA2200,Purine metabolism,IMPNAD+ oxidoreductase,0.06496660595021281,0.06496660595021281,449.23285294797495,0.10000000000000536
R01134,RPA4561,Purine metabolism,NADHguanosine-5-phosphate oxidoreductase(deaminating),0.06496660595021278,0.06496660595021278,449.2328529479756,1.0
R01196,RPA4721,Citrate cycle (TCA cycle),pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating),0.05953303527069339,0.05953303527069339,422.6803195223589,0.9384479721176364
R02740,RPA3634,Glycolysis / Gluconeogenesis,D-Glucose-6-phosphate ketol-isomerase,0.059460961378168795,0.059460961378168795,447.8886340383975,0.10000000000000536
R01528,RPA3635,Pentose phosphate pathway,6-Phospho-D-gluconateNADP+ 2-oxidoreductase (decarboxylating),0.05946096137816732,0.05946096137816732,447.8886340384362,1.0
R00835,RPA3636,Pentose phosphate pathway,D-Glucose-6-phosphateNADP+ 1-oxoreductase,0.05946096137816712,0.05946096137816712,447.8886340384357,1.0
R02035,RPA3637,Pentose phosphate pathway,"6-Phospho-D-glucono-1,5-lactone lactonohydrolase",0.05946096137816625,0.05946096137816625,447.8886340384362,1.0
R01621,RPA1673,Pentose phosphate pathway,D-Xylulose 5-phosphate D-glyceraldehyde-3-phosphate-lyase,0.059280139686701795,0.059280139686701795,445.4179827233918,1.0
R01300,RPA0669|RPA0673|RPA4234,Benzoate degradation,4-Hydroxybenzoate:CoA ligase (AMP-forming),0.05288922068928817,0.05288922068928817,443.94398852685714,0.970070723272028
